"Designator","Value","Footprint","Quantity","Part Number","Purchase Link"
"C1, C2","10uF","0603",2,"Generic 10uF 0603","https://www.lcsc.com/search?q=10uF%200603%2010V"
"C3, C6","1uF","0402",2,"Generic 1uF 0402","https://www.lcsc.com/search?q=1uF%200402%2010V"
"C4, C5, C7, C8, C9, C10, C11, C12, C15, C16, C17","0.1uF","0402",11,"Generic 0.1uF 0402","https://www.lcsc.com/search?q=0.1uF%200402%2016V"
"C13, C14","33pF","0402",2,"Generic 33pF 0402","https://www.lcsc.com/search?q=33pF%200402%2050V"
"J1","USB-C 16-pin","TYPE-C-31-M-12",1,"HRO TYPE-C-31-M-12","https://www.lcsc.com/product-detail/USB-Connectors_HRO-Han-Run-TYPE-C-31-M-12_C165948.html"
"J2, J4","Header 1x20","2.54mm Vertical",2,"Generic 1x20 Pin Header","https://www.lcsc.com/search?q=1x20%20pin%20header%202.54mm"
"J3","Header 1x3","2.54mm Vertical",1,"Generic 1x3 Pin Header","https://www.lcsc.com/search?q=1x3%20pin%20header%202.54mm"
"R1, R2","5.1k","0402",2,"Generic 5.1k 1% 0402","https://www.lcsc.com/search?q=5.1k%200402%201%25"
"R3, R4","27R","0402",2,"Generic 27R 1% 0402","https://www.lcsc.com/search?q=27R%200402%201%25"
"R5, R7","1k","0402",2,"Generic 1k 1% 0402","https://www.lcsc.com/search?q=1k%200402%201%25"
"R6","10k","0402",1,"Generic 10k 1% 0402","https://www.lcsc.com/search?q=10k%200402%201%25"
"SW1","Tactile Switch","ALPS SKRK",1,"ALPS SKRKAEE020","https://www.lcsc.com/product-detail/Tactile-Switches_ALPS-Alpine-SKRKAEE020_C139797.html"
"U1","3.3V LDO","SOT-223",1,"NCP1117ST33T3G","https://www.lcsc.com/product-detail/Linear-Voltage-Regulators-LDO_onsemi-NCP1117ST33T3G_C6186.html"
"U2","RP2040 MCU","QFN-56",1,"Raspberry Pi RP2040","https://www.lcsc.com/product-detail/Microcontroller-Units-MCUs-MPUs-SOCs_Raspberry-Pi-RP2040_C2040.html"
"U3","16MB Flash","SOIC-8",1,"W25Q128JVSIQ","https://www.lcsc.com/product-detail/NOR-FLASH_Winbond-Elec-W25Q128JVSIQ_C97521.html"
"Y1","12MHz Crystal","SMD 3225",1,"12MHz 18pF 3225","https://www.lcsc.com/product-detail/SMD-Crystal-Resonators_Yangxing-Tech-X322512MSB4GI_C13738.html"
